95.26,43.77
204.91,100.41
14.33,263.96
196.14,205.76
204.84,188.46
159.39,215.02
100.92,133.04
78.44,115.21
167.04,117.71
207.77,161.99
224.30,115.21
135.99,99.78
278.65,137.87
96.93,41.81
165.33,231.17
233.74,62.95
248.40,259.74
31.69,139.99
218.58,128.45
85.65,247.22
54.05,288.84
57.70,225.51
228.06,170.27
81.14,99.76
32.81,111.33
210.12,142.85
51.81,261.60
97.65,289.31
134.33,64.21
59.85,192.76
185.70,86.58
149.20,178.61
277.17,233.34
137.62,195.95
268.17,161.24
31.12,77.29
240.46,178.26
92.82,158.83
78.93,221.31
110.20,246.75
226.78,212.50
47.18,218.31
156.82,239.24
172.91,81.71
125.53,136.72
236.93,280.44
71.70,99.43
239.98,250.04
240.06,57.39
248.29,105.49
208.19,109.25
73.01,47.13
30.22,33.82
179.67,244.75
237.31,165.50
104.42,265.20
229.11,111.09
124.84,156.93
252.99,33.56
246.34,127.58
265.32,280.05
212.58,100.26
100.73,199.29
54.89,171.33
53.87,119.94
167.17,48.18
17.96,66.85
252.13,145.56
97.86,148.11
178.95,166.94
37.66,96.75
182.24,182.86
79.75,63.99
168.33,269.54
148.00,264.68
185.23,164.91
79.57,210.89
66.21,184.36
21.79,48.36
215.45,19.53
262.77,146.68
148.43,152.38
268.18,10.99
159.88,266.71
179.85,162.13
152.67,238.56
141.57,61.51
121.91,89.71
34.45,185.30
253.98,15.53
221.62,77.09
38.63,152.36
27.19,68.03
249.15,135.58
168.99,86.07
225.98,257.91
47.94,76.08
181.57,223.42
166.58,214.59
21.50,95.89
236.85,118.23
31.95,155.42
252.20,283.25
71.43,193.33
121.33,210.00
166.08,128.10
33.03,246.21
73.88,264.40
38.61,162.33
117.21,26.89
136.58,105.09
135.28,212.16
216.37,36.57
37.18,228.67
146.21,242.00
162.08,246.07
46.76,207.18
93.60,28.05
48.35,238.33
221.19,187.85
