250.00,150.00
249.45,160.45
247.81,170.79
245.11,180.90
241.35,190.67
236.60,200.00
230.90,208.78
224.31,216.91
216.91,224.31
208.78,230.90
200.00,236.60
190.67,241.35
180.90,245.11
170.79,247.81
160.45,249.45
150.00,250.00
139.55,249.45
129.21,247.81
119.10,245.11
109.33,241.35
100.00,236.60
91.22,230.90
83.09,224.31
75.69,216.91
69.10,208.78
63.40,200.00
58.65,190.67
54.89,180.90
52.19,170.79
50.55,160.45
50.00,150.00
50.55,139.55
52.19,129.21
54.89,119.10
58.65,109.33
63.40,100.00
69.10,91.22
75.69,83.09
83.09,75.69
91.22,69.10
100.00,63.40
109.33,58.65
119.10,54.89
129.21,52.19
139.55,50.55
150.00,50.00
160.45,50.55
170.79,52.19
180.90,54.89
190.67,58.65
200.00,63.40
208.78,69.10
216.91,75.69
224.31,83.09
230.90,91.22
236.60,100.00
241.35,109.33
245.11,119.10
247.81,129.21
249.45,139.55
250.00,150.00
